date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:34:21	913/913	---M-Z	200	added ('OK')	text/plain	etag:W/%225e590cab-7bde%22	https://github.com/robots.txt		(from )
15:34:21	135335/135335	---MCZ	200	added ('OK')	text/html	etag:W/%22c8d68a3036f23e7077bb4c69399670cd%22	https://github.com/	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/sofiane/github.com/index.html	(from )
15:34:21	150626/150626	---M-Z	200	added ('OK')	text/css	etag:%2250e2b83722c356af8f9011c82f7dfbf3%22	https://github.githubassets.com/assets/frameworks-6548d5a1dd84bd83036c6a914b25b4ae.css	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/sofiane/github.githubassets.com/assets/frameworks-6548d5a1dd84bd83036c6a914b25b4ae.css	(from https://github.com/)
15:34:22	111972/111972	---M-Z	200	added ('OK')	text/css	etag:%22af928ac03c0f4634a5eacf6d713fc907%22	https://github.githubassets.com/assets/site-d1aa66e61f527a216f66b27405a3d335.css	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/sofiane/github.githubassets.com/assets/site-d1aa66e61f527a216f66b27405a3d335.css	(from https://github.com/)
15:34:22	368011/368011	---M-Z	200	added ('OK')	text/css	etag:%22d72c332a6ca1a70e04678ee09d61805d%22	https://github.githubassets.com/assets/github-6960adfc0d6a085147bff50a0684bd8c.css	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/sofiane/github.githubassets.com/assets/github-6960adfc0d6a085147bff50a0684bd8c.css	(from https://github.com/)
15:34:23	550/550	---M-Z	200	added ('OK')	text/xml	etag:W/%225e590c60-226%22	https://github.com/opensearch.xml	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/sofiane/github.com/opensearch.xml	(from https://github.com/)
15:34:23	33270/33270	---M--	200	added ('OK')	image/png	etag:%225e590bfd-81f6%22	https://github.com/fluidicon.png	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/sofiane/github.com/fluidicon.png	(from https://github.com/)
15:34:23	7038/7038	---M--	200	added ('OK')	image/png	etag:%227daa31312757d3e58f7a27b726970eed%22	https://github.githubassets.com/images/modules/open_graph/github-logo.png	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/sofiane/github.githubassets.com/images/modules/open_graph/github-logo.png	(from https://github.com/)
15:34:24	22772/22772	---M--	200	added ('OK')	image/png	etag:%2209f5c6ae0d73877c4fc2595170735ff9%22	https://github.githubassets.com/images/modules/open_graph/github-mark.png	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/sofiane/github.githubassets.com/images/modules/open_graph/github-mark.png	(from https://github.com/)
15:34:24	34098/34098	---M--	200	added ('OK')	image/png	etag:%221e6b64cf13587210e41b79fd2086c266%22	https://github.githubassets.com/images/modules/open_graph/github-octocat.png	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/sofiane/github.githubassets.com/images/modules/open_graph/github-octocat.png	(from https://github.com/)
15:34:24	812/812	---M-Z	200	added ('OK')	application/manifest+json	etag:W/%22fc98210d9a2739bfcd9b805459fef518%22	https://github.com/manifest.json	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/sofiane/github.com/manifest.json	(from https://github.com/)
15:34:25	56615/56615	---MCZ	200	added ('OK')	text/html	etag:W/%22b831390ba29bf65a773380758fb58617%22	https://github.com/join?source=header-home	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/sofiane/github.com/join6a53.html	(from https://github.com/)
15:34:26	100903/100903	---MCZ	200	added ('OK')	text/html	etag:W/%22b03e81206b476101432d027e6c44a834%22	https://github.com/features	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/sofiane/github.com/features.html	(from https://github.com/)
15:34:26	83250/83250	---MCZ	200	added ('OK')	text/html	etag:W/%222868b7191e93ead943d175398a70dda5%22	https://github.com/features/code-review/	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/sofiane/github.com/features/code-review/index.html	(from https://github.com/)
15:34:26	74484/74484	---MCZ	200	added ('OK')	text/html	etag:W/%221f2be92ca09cce9ef6e9c2e0220babf3%22	https://github.com/features/integrations	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/sofiane/github.com/features/integrations.html	(from https://github.com/)
15:34:26	82239/82239	---MCZ	200	added ('OK')	text/html	etag:W/%22c504cbb8df76bbd30808df1ea51a7dc4%22	https://github.com/features/project-management/	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/sofiane/github.com/features/project-management/index.html	(from https://github.com/)
15:34:27	353961/353961	---MCZ	200	added ('OK')	text/html	etag:W/%22980b10e4693c290d33e3c47d35626c94%22	https://github.com/features/actions	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/sofiane/github.com/features/actions.html	(from https://github.com/)
15:34:28	672815/672815	---MCZ	200	added ('OK')	text/html	etag:W/%2232b6339b971a761d81d6f13a17003e99%22	https://github.com/features/packages	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/sofiane/github.com/features/packages.html	(from https://github.com/)
15:34:29	402171/402171	---MCZ	200	added ('OK')	text/html	etag:W/%22e582e36b55371f120997f6ade05a4505%22	https://github.com/features/security	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/sofiane/github.com/features/security.html	(from https://github.com/)
15:34:29	117/117	---M--	302	error ('Found')	text/html	date:Fri,%2028%20Feb%202020%2014:34:28%20GMT	https://github.com/customer-stories	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/sofiane/github.com/customer-stories.f.delayed	(from https://github.com/)
15:34:30	144593/144593	---MCZ	200	added ('OK')	text/html	etag:W/%227c3e5f1f74e9762b151c0e5b6c49ee2f%22	https://github.com/customer-stories?type=enterprise	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/sofiane/github.com/customer-stories49ee.html	(from https://github.com/)
15:34:31	65471/65471	---MCZ	200	added ('OK')	text/html	etag:W/%22b74c26ace4f44408784a38acec189eae%22	https://github.com/security	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/sofiane/github.com/security.html	(from https://github.com/)
15:34:31	111087/111087	---MCZ	200	added ('OK')	text/html	etag:W/%225dcf2cf6b13f4cad68e51df3e5fc1f63%22	https://github.com/enterprise	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/sofiane/github.com/enterprise.html	(from https://github.com/)
15:34:33	427650/427650	---MCZ	200	added ('OK')	text/html	etag:W/%22ed14edad770e711ca946c3431f6f8c77%22	https://github.com/explore	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/sofiane/github.com/explore.html	(from https://github.com/)
15:34:34	105997/105997	---MCZ	200	added ('OK')	text/html	etag:W/%22420e37e1d65a65e97f21956691958eb4%22	https://github.com/topics	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/sofiane/github.com/topics.html	(from https://github.com/)
15:34:34	70282/70282	---MCZ	200	added ('OK')	text/html	etag:W/%2210f7fcbb1c55baa5b37f4febd91eef3e%22	https://github.com/collections	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/sofiane/github.com/collections.html	(from https://github.com/)
15:34:35	620765/620765	---MCZ	200	added ('OK')	text/html	etag:W/%2228ade57c46b65b400cbab57fae7ff4f5%22	https://github.com/trending	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/sofiane/github.com/trending.html	(from https://github.com/)
15:34:36	55594/55594	---MCZ	200	added ('OK')	text/html	etag:W/%222ab73cfc9ce991d2133ec35325318cf0%22	https://github.com/events	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/sofiane/github.com/events.html	(from https://github.com/)
15:34:36	138121/138121	---MCZ	200	added ('OK')	text/html	etag:W/%228c1da51dabb9d32f80d20cf1afe71f69%22	https://github.com/marketplace	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/sofiane/github.com/marketplace.html	(from https://github.com/)
15:34:37	350400/350400	---MCZ	200	added ('OK')	text/html	etag:W/%22900557ea617f472865696ab32760c3b5%22	https://github.com/pricing	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/sofiane/github.com/pricing.html	(from https://github.com/)
15:34:38	89063/89063	---MCZ	200	added ('OK')	text/html	etag:W/%22d051a5d18cd2e6ab9660952c73a4010c%22	https://github.com/nonprofit	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/sofiane/github.com/nonprofit.html	(from https://github.com/)
15:34:38	17507/17507	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Feb%202020%2014:34:28%20GMT	https://github.com/login	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/sofiane/github.com/login.html	(from https://github.com/)
15:34:39	156/156	---M--	302	error ('Found')	text/html	date:Fri,%2028%20Feb%202020%2014:34:37%20GMT	https://github.com/notifications/beta/shelf	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/sofiane/github.com/notifications/beta/shelf.1c.delayed	(from https://github.com/)
